url;judul_singkat;konten;judul;label;ringkasan;tanggal
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Hotman Paris Bikin Giveaway Rp30 Juta...;Sejak Sabtu (21/9/2024), beredar video [arsip] TikTok dari akun...;[PENIPUAN] Hotman Paris Bikin Giveaway...;Hadiah;Sejak Sabtu (21/9/2024), beredar video [arsip]...;21/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Raffi Ahmad Giveaway, dari Susun Kata...;Sejak Selasa (15/10/2024), Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menemukan...;[PENIPUAN] Raffi Ahmad Giveaway, dari...;Hadiah;Sejak Selasa (15/10/2024), Tim Pemeriksa Fakta...;21/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Ridwan Kamil Bagi-Bagi Rp35 Juta di...;Akun TikTok “ridwan.kamil256” pada Minggu (6/10/2024) mengunggah video [arsip]...;[PENIPUAN] Ridwan Kamil Bagi-Bagi Rp35...;Hadiah;Akun TikTok “ridwan.kamil256” pada Minggu (6/10/2024)...;20/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Najwa Shihab Bagi-Bagi Uang Rp500 Ribu...;Terdapat akun TikTok “najwashihab.give” yang mengunggah satu video [arsip]...;[PENIPUAN] Najwa Shihab Bagi-Bagi Uang...;Hadiah;Terdapat akun TikTok “najwashihab.give” yang mengunggah...;18/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Undian Grand Prize untuk Pengguna Bank...;Sebuah unggahan Facebook [arsip] dari halaman “Promo Bank Bengkulu”...;[PENIPUAN] Undian Grand Prize untuk...;Hadiah;Sebuah unggahan Facebook [arsip] dari halaman...;17/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Cawagub Jakarta Rano Karno Bagi-Bagi Rp50...;Beredar video unggahan akun TikTok “hjranoonew” (https://www.tiktok.com/@hjranoonew?_t=8qaCoiTWZqK&_r=1) pada (16/10/2024)...;[PENIPUAN] Cawagub Jakarta Rano Karno...;Hadiah;Beredar video unggahan akun TikTok “hjranoonew”...;17/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Paket Umroh Gratis 2024 dari Kementerian...;Akun Facebook “Pendaftaran Umroh 2024” [arsip] mengunggah foto selebaran...;[PENIPUAN] Paket Umroh Gratis 2024...;Hadiah;Akun Facebook “Pendaftaran Umroh 2024” [arsip]...;17/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Calon Bupati Bandung Sahrul Gunawan Mau...;Beredar video pada Sabtu (9/10/2024) di TikTok [arsip] yang...;[PENIPUAN] Calon Bupati Bandung Sahrul...;Hadiah;Beredar video pada Sabtu (9/10/2024) di...;15/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Video Putri Tanjung Berikan Bantuan Rp25...;Beredar video dari akun TikTok “putri.tanjung55” [arsip postingan &...;[PENIPUAN] Video Putri Tanjung Berikan...;Hadiah;Beredar video dari akun TikTok “putri.tanjung55”...;15/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Testimoni Pemenang “Giveaway Rp30 Juta dari...;Akun Facebook “Ibumaya Sidorejo” pada Selasa (8/10/2024) mengunggah narasi...;[PENIPUAN] Testimoni Pemenang “Giveaway Rp30...;Hadiah;Akun Facebook “Ibumaya Sidorejo” pada Selasa...;14/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Program CSR Sido Muncul Bagi-Bagi Modal...;Akun Facebook “Tolak Angin” pada Selasa (1/10/2024) mengunggah informasi...;[PENIPUAN] Program CSR Sido Muncul...;Hadiah;Akun Facebook “Tolak Angin” pada Selasa...;12/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Undian Berhadiah Mobil, Umroh, Motor dan...;Yth, Nasabah Setia Bank Nagari. Sebagai bentuk apresiasi kami...;[PENIPUAN] Undian Berhadiah Mobil, Umroh,...;Hadiah;Yth, Nasabah Setia Bank Nagari. Sebagai...;12/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Giveaway “Uang untuk Bangun Rumah” dari...;?? Selamat ?? Uang telah datang untuk membangun rumah...;[PENIPUAN] Giveaway “Uang untuk Bangun...;Hadiah;?? Selamat ?? Uang telah datang...;12/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] RSUD Kabupaten Kediri Bikin Promo Tebus...;“HALO SOBAT @rsudkabkediri , KAMI SEDANG MENGADAKAN PROMOH TEBUS...;[PENIPUAN] RSUD Kabupaten Kediri Bikin...;Hadiah;“HALO SOBAT @rsudkabkediri , KAMI SEDANG...;11/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] “Mir’a Hayati berbagi rejeki melalui akun...;Akun Facebook “Mira Hayati” (fb.com/61553571579416) yang memiliki jumlah pengikut...;[PENIPUAN] “Mir’a Hayati berbagi rejeki...;Hadiah;Akun Facebook “Mira Hayati” (fb.com/61553571579416) yang...;10/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Agnez Mo Bagi-Bagi Uang Ratusan Juta,...;“Saya Agnes Mo 110 orang tercepat yang mengucapkan {halo}...;[PENIPUAN] Agnez Mo Bagi-Bagi Uang...;Hadiah;“Saya Agnes Mo 110 orang tercepat...;10/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Inul Daratista Bikin Kuis Tebak Buah,...;“TEBAK NAMA BUAH DI BAWAH YANG BENAR AKU TRANSFER...;[PENIPUAN] Inul Daratista Bikin Kuis...;Hadiah;“TEBAK NAMA BUAH DI BAWAH YANG...;10/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=8;[PENIPUAN] Akun Facebook “M R Terimakasih” Berbagi...;Akun Facebook “M R Terimakasih” (fb.com/mrbulefans123) yang memiliki pengikut...;[PENIPUAN] Akun Facebook “M R...;Hadiah;Akun Facebook “M R Terimakasih” (fb.com/mrbulefans123)...;10/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=9;[PENIPUAN] Undian Berhadiah Mobil BMW dan Tabungan...;Kini hadir lagi ???????????? Bank Muamalat ????????????????, Yuk Ambil...;[PENIPUAN] Undian Berhadiah Mobil BMW...;Hadiah;Kini hadir lagi ???????????? Bank Muamalat...;10/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=9;[PENIPUAN] Giveaway Motor CRF dari Akun @ptastrahonda_motor;Sampai saat ini belum ada yang berhasil, yang bisa...;[PENIPUAN] Giveaway Motor CRF dari...;Hadiah;Sampai saat ini belum ada yang...;09/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=9;[PENIPUAN] Testimoni Penerima Hadiah Giveaway dari Raffi...;Terimakasih A Raffi dan Mba Nagita atas rezeki nya...;[PENIPUAN] Testimoni Penerima Hadiah Giveaway...;Hadiah;Terimakasih A Raffi dan Mba Nagita...;09/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=9;[PENIPUAN] Coca-Cola Ulang Tahun, Bagi-Bagi Rp10 Juta...;??Untuk merayakan ulang tahun Coca Cola di Indonesia, tim...;[PENIPUAN] Coca-Cola Ulang Tahun, Bagi-Bagi...;Hadiah;??Untuk merayakan ulang tahun Coca Cola...;08/10/2024
